,fallacy_reason,fallacy_type,premise_content,premise_type,title,url
303,"Continuum fallacy. Whether or not something is a potato is ambiguous. When does something stop being the root of the potato plant and become a potato? As others have mentioned, what about french fries or potato chips? They are both potato and not-potato. This is a problem with two-valued logic (instead of continuous-valued logics, such as fuzzy logic) in that it requires a precise predicate to render a valid conclusion. See 'Heap Paradox' on wikipedia.",Fallacy Of The Beard,"""A or not A"" is true.",because,"Everything in the universe is either a potato, or not a potato.",https://en.arguman.org/everything-in-the-universe-is-either-a-potato-or-not-a-potato
304,This cannot be proven nor disproven.,Appeal To Belief,God doesn't exist.,but,You are God.,https://en.arguman.org/you-are-god
305,"Energy is assumed to be a part of the universe. Natural laws cannot apply to something outside of nature (or in this case, to a nature that would not yet exist).",Irrelevant Conclusion,"Creation is not required for existence.
Energy cannot be created or destroyed as per the first law of thermodynamics.
The universe is made of matter and energy.
The universe was not created.",but,The Universe Was Created,https://en.arguman.org/the-universe-began-to-exist
306,Why is God allowed to be an unmoved mover? That's special pleading.,Fallacy Of Special Pleading,"'God' would be an unmoved mover which created, in some sense, the framework in which we now live. Running on this premise, he would have to have some kind of power.",but,You are God.,https://en.arguman.org/you-are-god
307,By stating it was created there is a prima facia assumption of a creator.,Begging The Question,Everything that begins to exist was caused. The universe began to exist. The universe was caused.,because,The Universe Was Created,https://en.arguman.org/the-universe-began-to-exist
308,Carbon emissions from beaurocracy is hard for a layman (or anyone) to answer. I expect it will be a negligible quantity.,Fallacy Of Red Herring,How much Carbon would be produced just to maintain this tax?,but,Carbon emissions should be taxed,https://en.arguman.org/carbon-emissions-should-be-taxed
309,"While I agree with you, referring to nebulous standards isn't an argument.",Argument Against TheMan,"Semicolons do serve a purpose, they let Javascript know where the line ends; Javascript will behave as if the semicolon is there whether you write it or not in the event of a mistake. This is not an excuse to abstain from proper web practices.",but,Semi-colons are pointless in Javascript,https://en.arguman.org/semi-colons-are-unnecessary-in-javascript
310,That's not what this debate is about,Irrelevant Conclusion,javascript is pointless,because,Semi-colons are pointless in Javascript,https://en.arguman.org/semi-colons-are-unnecessary-in-javascript
311,Knowledge of Haskell is regarded as a merit of deeper theorethical understanding of many underlaying functional-related mechanisms operating just like those in Java or C# and as such is recognised by largest IT players like Google or Microsoft (just read their job offers),Pragmatic Fallacy,"I don't believe it is. I interact with a lot of programmers in a major metro and I would argue the majority of working programmers still never heard of Haskell.
The number of people who are actually paid to write Haskell is still very small.",but,Programming languages with fancy type systems (like Haskell) will never become mainstream.,https://en.arguman.org/fancy-type-systems-like-haskells-will-never-be-mainstream
312,Fallacy reports like this one stay around.,Prejudicial Language,"It is possible to give a poor argument that the premise is a fallacy or falsely report fallacies with flippant comments in an attempt to delegitimize an argument.
There is no community moderation on these reports thus illegitimate reports stay permanently on arguments.",because,Arguman needs better tools for handling fallacy reporting,https://en.arguman.org/arguman-needs-better-tools-for-handling-fallacy-reporting
313,"You say your argument is about individual choice being the answer, then point out how individual choice leads to the wrong answer",Fallacy Of Red Herring,"Then what about China then. China can pollute this world more than anybody. Why would you breakdown your own people to not pollute, if China is going to continue doing what the are doing. Pollution is an earth and humanity issue, not just a country issue.",but,Carbon emissions should be taxed,https://en.arguman.org/carbon-emissions-should-be-taxed
314,My premise shouldn't be taken seriously. I would also report it as misleading vividness but it's not on the site yet.,Fallacy Of Red Herring,I'm triggered.,however,There are more than two genders.,https://en.arguman.org/there-are-more-than-two-genders
315,No connection to the original argument.,Irrelevant Conclusion,"in horrific sardine-packed conditions. 90% were written off as 'spoilage' accepted to die enroute. Newport, the slave trade hub, was called 'The Jewish Newport slave trade center'. Jews ran the agencies on the ground in Africa which plied tribes with Whiskey and alcohol to sell their children.",because,The Holocaust didn't happen,https://en.arguman.org/the-holocaust-didnt-happen-420ea8040962443989be7c38bd9a171d
316,"This is an ""argument analysis platform"". Any argument can be presented and it means the OP wants to test it, not that s/he believes in it. Take your sensitivity somewhere else.",Poisoning The Well,"This is one of the worst things about this board...it's full of utterly shite people, if he even holds these views at all. If he does, I literally wouldn't care if he died. Scum.",because,The Holocaust didn't happen,https://en.arguman.org/the-holocaust-didnt-happen-420ea8040962443989be7c38bd9a171d
